user_id,item_ids,timestamp
28335,"[4362, 10508, 11258, 13895, 16438, 18363, 18718]",1396569600
1090,"[15420, 17491, 58, 6152, 7051, 14852, 15412, 15492, 15787, 16521, 16654]",1395878400
20775,"[5115, 2198, 4732, 14273, 16151]",1399334400
11389,"[11787, 7739, 9547, 18378, 13132, 14271, 3539, 10192, 15385, 19084, 19225]",1381708800
23506,"[2823, 4938, 7377, 20993, 15328]",1399420800
14412,"[7711, 16528, 7879, 1215, 7455]",1389225600
38498,"[15375, 16748, 17415, 19189, 21142, 22563]",1397260800
4839,"[14710, 295, 5608, 8903, 9795, 11813, 16338, 7422, 14188, 17633, 20161]",1373414400
4640,"[7528, 1599, 6288, 1830, 2665, 18965, 273, 14640, 21084]",1400112000
7977,"[2056, 3238, 3582, 14656, 731, 1759, 2099, 2955, 4052, 5923, 5924]",1355097600
29470,"[6148, 8034, 11253, 15907, 16242, 19656, 21348, 7447, 16367, 5827, 5879]",1394841600
23925,"[16290, 21456, 2947, 18486, 20122]",1399593600
9268,"[18166, 674, 16296, 16657, 8065, 4736]",1398902400
14678,"[4205, 4323, 10159, 4496, 1715, 1249]",1400976000
10740,"[6099, 13468, 17213, 8308, 11591, 2489, 8350, 14057, 17071, 20994, 17478]",1384473600
5584,"[359, 6235, 10205, 892, 1015, 13826, 6413, 12584]",1360886400
34431,"[15379, 15423, 18575, 21076, 15985, 17604, 8063, 22309, 13285, 22506, 12917]",1389139200
5763,"[13946, 15693, 20977, 21571, 21486, 12601, 14555, 22485, 20756, 22022, 21873]",1389744000
31852,"[6095, 6386, 17832, 18817, 22031, 22034, 14741]",1390348800
1564,"[945, 5400, 20800, 82, 5708]",1391299200
337,"[20, 12842, 13896, 15402, 17478]",1363737600
13555,"[1101, 8201, 9422, 10502, 22378, 22377]",1395187200
5393,"[20434, 21707, 2858, 6831, 345, 3358, 6824, 7376, 7580, 10603, 17620]",1390608000
15886,"[1392, 2061, 2114, 3966, 7427]",1384560000
27963,"[4214, 11926, 4618, 17326, 4480, 18792, 16413]",1379808000
2275,"[2116, 122, 7883, 2246, 9181, 12041, 11521, 2359, 8460, 12657, 8458]",1360972800
6085,"[1235, 14905, 19002, 19463, 15852, 13576, 1963, 9453, 5983, 6231, 16419]",1380326400
22215,"[2485, 11730, 18897, 13721, 5365, 12882, 13868, 3375, 21557]",1399420800
1351,"[4299, 76, 79, 6253, 14334]",1369612800
3879,"[230, 4308, 10759, 12521, 15196, 18002, 21557, 9069, 9356, 11270, 13792]",1396396800
35486,"[9942, 9367, 15327, 15369, 17115]",1388016000
7727,"[3695, 535, 2821, 641, 13539, 8273]",1390262400
35808,"[15004, 15769, 9851, 20926, 22785]",1398124800
22821,"[4880, 2649, 9764, 9856, 15567]",1362268800
15273,"[14699, 11920, 17860, 18129, 19947, 16817, 1315]",1396828800
8259,"[6473, 4046, 10719, 2396, 4954, 8972, 6667, 8885, 12583, 19348, 15009]",1363478400
10973,"[1423, 963, 794, 1288, 8263]",1396396800
26861,"[20203, 4840, 17213, 15757, 3801, 9460, 12922, 19678]",1397606400
4569,"[15357, 3611, 5103, 5779, 7872, 10899, 11085, 16831, 18001, 15674, 311]",1388620800
5763,"[21571, 21486, 12601, 14555, 22485, 20756, 22022, 21873, 22417, 20948, 22915]",1399766400
34774,"[16926, 15505, 12356, 8414, 20910]",1398816000
21151,"[2261, 13537, 14276, 7566, 16685]",1367452800
20976,"[17882, 15338, 8083, 8319, 15667, 2246]",1392595200
9286,"[3657, 1533, 7357, 16672, 675, 8098, 16040, 1524]",1397001600
27636,"[12249, 17183, 18936, 4070, 11635]",1400284800
24063,"[16428, 2988, 3262, 17771, 21775, 7554]",1391644800
33345,"[9677, 10262, 7132, 16976, 20393, 20964, 16070, 7893, 8761, 18398, 22494]",1392422400
3746,"[217, 15945, 9687, 2476, 11717, 3606, 300, 15535, 11007, 12943, 10962]",1371513600
22269,"[9975, 13499, 2497, 18965, 3582]",1384560000
22062,"[5361, 11373, 9476, 2460, 15018]",1389398400
4102,"[2284, 4245, 5347, 1536, 1342, 4882, 245, 14761, 13228, 8125, 4190]",1397779200
4927,"[1335, 511, 1153, 1826, 7215, 7419, 10452, 10844, 12016, 18494, 18495]",1388102400
28477,"[11985, 18145, 4406, 17415, 21495]",1394064000
28236,"[6593, 4345, 7303, 14655, 5632]",1377043200
10358,"[1110, 741, 14166, 14526, 15298, 871, 1770]",1386115200
15111,"[11975, 2323, 15219, 1299, 12986]",1393459200
38982,"[17491, 21010, 20857, 20874, 22014]",1392076800
28695,"[4473, 20755, 19716, 7106, 19476]",1393545600
734,"[12419, 42, 646, 986, 9450]",1397001600
10478,"[10496, 756, 7575, 8985, 14883, 21479]",1392940800
1937,"[1058, 13421, 13494, 110, 1063, 2069, 4942]",1376611200
7007,"[476, 10107, 9194, 10994, 10993, 13905, 14523, 1423, 2379, 7295, 13471]",1384646400
2511,"[641, 1528, 1551, 146, 4327, 16119, 6772]",1391644800
7276,"[7285, 7742, 499, 19082, 2147, 4918, 17376, 825, 1166, 1218, 13198]",1401408000
21607,"[3083, 13055, 12375, 15606, 8253, 17290, 12628, 2349, 7937]",1392076800
5011,"[815, 310, 4965, 1784, 1939, 2878, 6641, 3525, 1432, 309]",1395187200
15833,"[13422, 18026, 4316, 10223, 15234, 16711, 20874, 6158, 1384, 9376, 14022]",1400457600
38997,"[17616, 18275, 18304, 18677, 18839]",1368748800
5027,"[16187, 362, 2800, 20399, 19063, 20492, 1957, 12780, 21554, 5428, 8306]",1390780800
35946,"[10079, 10967, 10968, 12422, 14911]",1392768000
12520,"[9759, 13460, 17703, 14486, 9760, 14905, 18017, 14338, 21254, 12257, 12716]",1378684800
4907,"[3266, 1374, 9711, 13348, 16146, 20172, 21410, 1518, 6272, 7813, 14617]",1394755200
38230,"[17535, 18608, 14649, 14779, 18543, 19297, 20536]",1379721600
31245,"[5733, 10117, 14696, 10121, 10120]",1344729600
19805,"[2384, 3142, 2046, 5771, 11806]",1385424000
2493,"[13264, 145, 17844, 14440, 8440, 3274, 15892, 6324, 17343]",1395619200
14932,"[5227, 14620, 1278, 8731, 21164, 21378]",1387843200
32081,"[13344, 8476, 9582, 6215, 6599]",1356307200
33938,"[7624, 7871, 8469, 14404, 20881, 20956]",1393977600
24719,"[15446, 21435, 21436, 21442, 21446, 21462, 21464, 21466, 21474, 21475, 21482]",1382313600
1483,"[2571, 3862, 1299, 4390, 4850, 5914, 9730, 4596, 14049, 80, 1949]",1390262400
